Frame,"Comp_Sky (ms)","G-Buffer (ms)","RT (ms)","SVGF_Spatial_1 (ms)","SVGF_Spatial_16 (ms)","SVGF_Spatial_2 (ms)","SVGF_Spatial_4 (ms)","SVGF_Spatial_8 (ms)","SVGF_Temp (ms)"
153,0.054592,0.395488,2.20992,0.266112,0.255872,0.251776,0.245632,0.246656,0.27024
154,0.054912,0.39728,2.38336,0.265472,0.253824,0.251808,0.245632,0.24768,0.545696
155,0.05424,0.396288,2.58829,0.266144,0.255872,0.251808,0.245632,0.24768,0.27024
156,0.053984,0.398944,2.20874,0.266112,0.255872,0.251776,0.246656,0.24768,0.268192
157,0.061568,0.397536,2.22141,0.266144,0.262752,0.2528,0.245632,0.37728,0.268192
158,0.054432,0.421728,2.49715,0.266112,0.257952,0.251808,0.427904,0.251136,0.270208
159,0.0544,0.604224,2.21133,0.266144,0.255872,0.251776,0.245632,0.24768,0.270208
160,0.054336,0.398848,2.22186,0.266144,0.255904,0.251808,0.24768,0.247712,0.27024
161,0.054336,0.398112,2.41763,0.266112,0.5344,0.251808,0.245664,0.24768,0.2784
162,0.054496,0.398624,2.37661,0.295168,0.255872,0.249728,0.428928,0.249024,0.470912
163,0.054592,0.398784,2.21606,0.266112,0.255904,0.250752,0.247712,0.245664,0.270208
164,0.05472,0.399648,2.21648,0.26512,0.255904,0.251744,0.24768,0.247712,0.270208
165,0.05504,0.398016,2.39949,0.266112,0.255872,0.527232,0.255168,0.249728,0.270208
166,0.0544,0.398912,2.448,0.266112,0.436096,0.251808,0.245632,0.24768,0.266112
167,0.054496,0.39856,2.2112,0.266144,0.255904,0.251808,0.245664,0.248736,0.27024
168,0.05424,0.398976,2.20912,0.266112,0.255872,0.251776,0.245632,0.246656,0.270208
169,0.054432,0.556672,2.50829,0.268192,0.25392,0.251776,0.245792,0.247552,0.27024
170,0.054176,0.401504,2.65606,0.264064,0.255904,0.249728,0.245664,0.247712,0.27024
171,0.053984,0.39792,2.2096,0.266112,0.255872,0.251776,0.246656,0.245632,0.270208
172,0.05408,0.397696,2.21869,0.266144,0.255904,0.392064,0.249088,0.247712,0.27024
173,0.050112,0.401664,2.51978,0.266144,0.283808,0.251808,0.245632,0.430976,0.27024
174,0.054976,0.390464,2.3817,0.266112,0.255872,0.427904,0.255232,0.249728,0.27024
175,0.054336,0.399104,2.2215,0.266112,0.255904,0.252832,0.245664,0.247712,0.27024
176,0.05472,0.398624,2.38502,0.266144,0.263424,0.251808,0.245664,0.523136,0.27024
177,0.054432,0.399424,2.43936,0.266112,0.255872,0.251776,0.245632,0.24768,0.270208
178,0.054976,0.400608,2.23002,0.461728,0.255872,0.255232,0.24768,0.247712,0.29584
179,0.054208,0.401984,2.21978,0.266144,0.255904,0.251776,0.247712,0.247712,0.269216
180,0.054016,0.398336,2.64458,0.26816,0.255872,0.251776,0.245632,0.24768,0.280704
181,0.054976,0.399584,2.43472,0.274336,0.255904,0.251808,0.245664,0.247712,0.291712
182,0.05424,0.566528,2.42784,0.266144,0.255904,0.253824,0.247712,0.247712,0.27024
183,0.054624,0.40144,2.2208,0.266112,0.25792,0.251776,0.405376,0.253152,0.270208
184,0.049568,0.398304,2.53043,0.264064,0.609184,0.251808,0.24768,0.24768,0.27024
185,0.055072,0.41536,2.43165,0.266144,0.255872,0.253856,0.247712,0.24768,0.27024
186,0.054752,0.397504,2.21978,0.266112,0.255872,0.2528,0.24768,0.24768,0.270208
187,0.06064,0.400576,2.3873,0.266144,0.522144,0.251776,0.245632,0.247712,0.27024
188,0.054848,0.398464,2.5608,0.266112,0.257952,0.251808,0.4392,0.253152,0.274336
189,0.054272,0.399136,2.21926,0.266112,0.255872,0.253824,0.246656,0.24768,0.270208
190,0.054144,0.400736,2.23114,0.266144,0.255904,0.252832,0.245664,0.247712,0.27024
191,0.074176,0.39872,2.38947,0.267456,0.255872,0.251776,0.24768,0.247712,0.540544
192,0.055104,0.426112,2.62816,0.266112,0.257952,0.251776,0.245632,0.24768,0.27024
193,0.054016,0.39952,2.22794,0.266112,0.255872,0.253824,0.247712,0.248736,0.27024
194,0.054784,0.399936,2.22074,0.268192,0.265504,0.251776,0.246688,0.381856,0.27024
195,0.05456,0.397664,2.53789,0.266112,0.25792,0.251776,0.425856,0.251104,0.270208
196,0.054528,0.611328,2.22742,0.289696,0.255904,0.431008,0.249056,0.247712,0.27024
197,0.05424,0.397824,2.22093,0.267168,0.255872,0.253824,0.245632,0.24976,0.27024
198,0.054208,0.397856,2.39395,0.266112,0.255872,0.251776,0.245632,0.24768,0.272256
199,0.057632,0.711136,2.22957,0.268192,0.433056,0.251776,0.245664,0.247712,0.27024
200,0.054176,0.461504,2.39277,0.266144,0.259296,0.253856,0.247712,0.43408,0.27024
201,0.054528,0.399648,2.21955,0.268192,0.255872,0.251776,0.246656,0.24768,0.27024
202,0.054592,0.39936,2.39184,0.53952,0.255904,0.255136,0.247872,0.2496,0.27024
203,0.054592,0.398912,2.5985,0.266144,0.255872,0.251808,0.247712,0.247712,0.27024
204,0.054144,0.398432,2.21962,0.266112,0.255872,0.251776,0.24768,0.248704,0.270208
205,0.056416,0.401952,2.42787,0.266112,0.397216,0.251808,0.247712,0.24768,0.270208
206,0.054528,0.397952,2.53078,0.266144,0.255872,0.251776,0.247712,0.249728,0.27024
207,0.054752,0.399008,2.45725,0.444288,0.255872,0.259264,0.249728,0.24768,0.270208
208,0.05472,0.398528,2.22819,0.267168,0.255904,0.251808,0.24768,0.24976,0.27024
209,0.054752,0.401888,2.22051,0.26544,0.255872,0.253856,0.247712,0.24768,0.420768
210,0.054912,0.397632,2.51731,0.266112,0.261376,0.251776,0.24768,0.432,0.270208
211,0.055008,0.42112,2.40698,0.266144,0.256,0.427936,0.255264,0.251808,0.27024
212,0.054592,0.399008,2.21923,0.266112,0.255904,0.252832,0.247712,0.247712,0.26816
213,0.054432,0.395744,2.39718,0.266112,0.257952,0.52016,0.256192,0.251808,0.270208
214,0.054528,0.398432,2.60598,0.266144,0.25936,0.251808,0.245664,0.433024,0.266112
215,0.054368,0.398752,2.224,0.266112,0.255904,0.251776,0.246688,0.247712,0.270208
216,0.054304,0.398144,2.22237,0.266112,0.257952,0.2528,0.245632,0.24768,0.270208
217,0.054336,0.557472,2.53306,0.266144,0.255872,0.251808,0.247712,0.24768,0.27024
218,0.054944,0.607008,2.22205,0.266144,0.255872,0.253856,0.247712,0.24768,0.27024
219,0.054432,0.630944,2.21808,0.266112,0.255872,0.251776,0.245632,0.24768,0.270208
220,0.0544,0.400064,2.2313,0.409504,0.255904,0.25728,0.24768,0.247712,0.27024
221,0.055104,0.398048,2.52214,0.266144,0.257952,0.251808,0.44224,0.251136,0.27024
222,0.054528,0.398336,2.21782,0.45456,0.255872,0.253152,0.24768,0.24976,0.292736
223,0.054368,0.396928,2.40573,0.266144,0.255904,0.251776,0.247712,0.247712,0.268192
224,0.05472,0.397248,2.39194,0.266112,0.257952,0.253824,0.52112,0.257312,0.27024
225,0.054624,0.397824,2.39126,0.294784,0.255872,0.264064,0.245632,0.24768,0.274848
226,0.054464,0.565536,2.43242,0.266112,0.255872,0.251776,0.247712,0.24768,0.272256
227,0.054176,0.401024,2.21722,0.266144,0.2568,0.251808,0.247712,0.247776,0.27024
228,0.054432,0.552768,2.52205,0.266112,0.255872,0.253856,0.24768,0.24768,0.272256
229,0.047744,0.397376,2.23072,0.266112,0.27024,0.439968,0.254592,0.280352,0.27024
230,0.054464,0.397344,2.39536,0.449408,0.255872,0.257184,0.247712,0.247712,0.27024
231,0.054496,0.398432,2.2209,0.266112,0.255872,0.425856,0.24912,0.249728,0.269216
232,0.054912,0.39904,2.53747,0.268192,0.255904,0.251776,0.247712,0.247712,0.268192
233,0.054656,0.400352,2.22298,0.266112,0.255872,0.251776,0.247712,0.24768,0.269216
234,0.054368,0.39936,2.21725,0.266112,0.255872,0.253856,0.245632,0.24768,0.270208
235,0.054144,0.397344,2.41859,0.266144,0.255872,0.253856,0.24768,0.247712,0.272256
236,0.054848,0.696192,2.2209,0.266144,0.25792,0.251808,0.247712,0.247712,0.27024
237,0.054464,0.399296,2.21267,0.266112,0.256896,0.251776,0.24768,0.24768,0.270208
238,0.054464,0.400736,2.23008,0.268192,0.256928,0.251776,0.247712,0.247712,0.27024
239,0.054336,0.398976,2.37962,0.266144,0.25792,0.251776,0.51392,0.253184,0.27024
240,0.054336,0.399104,2.39206,0.266112,0.255872,0.251776,0.247712,0.24768,0.270208
241,0.054656,0.39616,2.22598,0.267168,0.255904,0.251776,0.245632,0.247712,0.26816
242,0.054112,0.4008,2.22051,0.267136,0.255904,0.253856,0.24768,0.247712,0.27024
243,0.054592,0.39856,2.6633,0.266112,0.255872,0.251776,0.24768,0.24768,0.2784
244,0.054304,0.397184,2.23264,0.266112,0.255904,0.253824,0.247712,0.247712,0.27024
245,0.054688,0.399104,2.2209,0.266144,0.255872,0.253856,0.247712,0.24768,0.27024
246,0.05904,0.395296,2.22118,0.266112,0.415648,0.251776,0.24768,0.24768,0.270208
247,0.054336,0.400608,2.52314,0.268192,0.255904,0.251776,0.247712,0.24976,0.27024
248,0.05456,0.39696,2.2192,0.266144,0.255872,0.253824,0.246688,0.24768,0.27024
249,0.054496,0.3992,2.22451,0.268192,0.255872,0.394144,0.253152,0.249728,0.270208
250,0.054688,0.398496,2.41818,0.409472,0.255904,0.257312,0.247712,0.247712,0.27024
251,0.054624,0.399296,2.50618,0.266112,0.255904,0.253856,0.24768,0.247712,0.270208
252,0.054432,0.397472,2.2191,0.268192,0.25792,0.253856,0.245632,0.24768,0.270208
253,0.05424,0.396736,2.23072,0.266144,0.255872,0.251776,0.247712,0.249728,0.27024
254,0.059264,0.402048,2.3801,0.266112,0.514912,0.253856,0.245664,0.247744,0.270208
255,0.054368,0.397696,2.2201,0.266112,0.256896,0.251776,0.24768,0.24768,0.27024
256,0.054464,0.397504,2.23043,0.266144,0.255904,0.253856,0.247712,0.248736,0.268192
257,0.054496,0.402528,2.22115,0.266144,0.255904,0.251808,0.246688,0.24976,0.270208
258,0.0552,0.397344,2.38362,0.266112,0.25792,0.513952,0.25312,0.249728,0.27024
259,0.054112,0.397632,2.22691,0.266144,0.255904,0.2528,0.245664,0.24976,0.270208
260,0.054144,0.398688,2.22221,0.267136,0.255904,0.253824,0.247712,0.247712,0.27024
261,0.053984,0.398176,2.22205,0.266112,0.255872,0.253856,0.24768,0.24768,0.269216
262,0.054528,0.396192,2.66538,0.266112,0.255872,0.251776,0.247712,0.24768,0.278432
263,0.05456,0.399008,2.22109,0.266144,0.255872,0.251776,0.247712,0.24976,0.270208
264,0.054336,0.397856,2.22122,0.268192,0.255872,0.251776,0.24768,0.24768,0.270208
265,0.059648,0.396416,2.22861,0.268192,0.39424,0.251808,0.247712,0.24768,0.27024
266,0.054752,0.397056,2.5168,0.266144,0.255872,0.251776,0.247712,0.249728,0.27024
267,0.054752,0.397888,2.21955,0.267552,0.255872,0.253824,0.247712,0.249728,0.43712
268,0.05424,0.40208,2.22806,0.266112,0.255872,0.253856,0.247712,0.249728,0.27024
269,0.054464,0.399232,2.21805,0.397952,0.257952,0.258592,0.24976,0.24768,0.27024
270,0.05456,0.398592,2.51526,0.266112,0.255872,0.251776,0.24768,0.24768,0.27024
271,0.054336,0.39872,2.22883,0.268192,0.255904,0.251776,0.247712,0.247712,0.269216
272,0.054496,0.399968,2.22214,0.266112,0.255904,0.253824,0.247712,0.24976,0.272288
273,0.054272,0.39824,2.37837,0.266112,0.257952,0.253824,0.24768,0.24768,0.272288
274,0.054592,0.687104,2.2305,0.268192,0.255872,0.253856,0.247712,0.24768,0.27024
275,0.054464,0.402944,2.22006,0.268192,0.256928,0.251808,0.247712,0.249728,0.27024
276,0.054688,0.397152,2.21898,0.266112,0.256896,0.251776,0.24768,0.24768,0.270208
277,0.054304,0.402432,2.41306,0.266112,0.257952,0.253856,0.506784,0.253184,0.270208
278,0.053856,0.400672,2.22029,0.268192,0.255872,0.252832,0.247712,0.24768,0.27024
279,0.054432,0.399264,2.2175,0.268192,0.255872,0.2528,0.24768,0.24768,0.27024
280,0.0544,0.399456,2.2289,0.265088,0.255904,0.251808,0.247712,0.247712,0.27024
281,0.054944,0.40128,2.38224,0.267488,0.255904,0.253856,0.24768,0.247712,0.53648
282,0.053952,0.396544,2.2217,0.266144,0.255872,0.251776,0.247712,0.24976,0.269184
